seed_no,seed_name,brand,address_hint,match_status,candidate_count,place_id,resolved_name,resolved_address,lat,lng,business_status,proposed_venue_id
1,Starbucks Centrepoint,starbucks,,confident,1,ChIJRZ1c0JYZ2jERZi1GJIoRVy0,Starbucks Centrepoint,"176 Orchard Rd, #01-41/42 Centrepoint, Singapore 238843",1.3017641,103.8397677,OPERATIONAL,starbucks-centrepoint
2,Starbucks SingHealth Tower,starbucks,,confident,1,ChIJdz_uG8MZ2jERWgyvDAP7F60,Starbucks SingHealth Tower,"10 Hospital Blvd, #01-02 SingHealth Tower, Singapore 168582",1.27803,103.8353277,OPERATIONAL,starbucks-singhealth-tower
3,Starbucks Wisma Atria,starbucks,,confident,1,ChIJkQL5B5IZ2jER520GahisXVQ,Starbucks Wisma Atria,"435 Orchard Rd, #01-34 to #01-36 Wisma Atria, Singapore 238877",1.3037147999999998,103.8332642,OPERATIONAL,starbucks-wisma-atria
4,Starbucks,starbucks,"8 College Ave W, B1-01, Singapore 138608",confident,1,ChIJ3SWtPfUa2jERQaXuDgcJ4uc,Starbucks,"8 College Ave W, B1-01, Singapore 138608",1.3055043,103.773187,OPERATIONAL,starbucks-utown
5,Starbucks,starbucks,"37 Smith St, #01-01 & #02-01, Singapore 058950",confident,1,ChIJt5nUihUZ2jERPTdMOfNKjZc,Starbucks,"37 Smith St, #01-01 & #02-01, Singapore 058950",1.2823486,103.8439315,OPERATIONAL,starbucks-chinatown-food-street
6,Starbucks Fusionopolis,starbucks,,confident,1,ChIJg2RzREUa2jERTWEw-CdqYP0,Starbucks - Fusionopolis,"1 Fusionopolis Wy, #01-07 / #02-14, Singapore 138632",1.2988321,103.78744309999999,OPERATIONAL,starbucks-fusionopolis
7,Starbucks Rochester Park,starbucks,,confident,1,ChIJTyS910Ia2jERCTho_ldH97E,Starbucks Rochester Park,"37 Rochester Dr, Singapore 138640",1.305518,103.7877582,OPERATIONAL,starbucks-rochester-park
8,Starbucks West Mall,starbucks,,confident,1,ChIJd2Ve700R2jERIK2KnTMT4C8,Starbucks - West Mall,"1 Bukit Batok Central Link, #01-32 West Mall, Singapore 658713",1.3500111,103.74928519999999,OPERATIONAL,starbucks-west-mall
9,Starbucks HillV2,starbucks,,confident,1,ChIJ9XU8l1IQ2jERZFVUmQayS6A,Starbucks - HillV2,"4 Hillview Rise, #01-05 HillV2, Singapore 667979",1.3630931,103.7645098,OPERATIONAL,starbucks-hillv2
10,Starbucks HomeTeamNS Bukit Batok,starbucks,,confident,1,ChIJ_8i9xA4R2jERt6f-QY9hHWU,Starbucks HomeTeamNS Bukit Batok,"2 Bukit Batok West Ave 7 01-01/02/03 HomeTeamNS, 2 Bukit Batok West Ave 7, Clubhouse, Singapore 659003",1.3659998,103.7501001,OPERATIONAL,starbucks-hometeamns-bukit-batok
11,Starbucks United Square,starbucks,,confident,1,ChIJ79DF5-cZ2jERF3Y7mXwGcpc,Starbucks United Square,"101 Thomson Rd, #01-01 United Square, Singapore 307591",1.3175721999999999,103.8439185,OPERATIONAL,starbucks-united-square
12,Starbucks Tekka Place,starbucks,,confident,1,ChIJG_j_BI0Z2jER6Q9Sl7nEhaY,Starbucks Tekka Place,"2 Serangoon Rd, #01-06/07/08/29 Tekka Place, Singapore 218227",1.3051534,103.851216,OPERATIONAL,starbucks-tekka-place
13,Starbucks,starbucks,"6 Eu Tong Sen St, #01-29 The Central, Singapore 059817",confident,1,ChIJt7a1YKgZ2jERzg8I3Z03fag,Starbucks,"6 Eu Tong Sen St, #01-29 The Central, Singapore 059817",1.2888591,103.8468937,OPERATIONAL,starbucks-the-central
14,Starbucks Valley Point,starbucks,,confident,1,ChIJHao5Q4EZ2jERZ2a53B7V0wI,Starbucks Valley Point,"491 River Valley Rd, #01 - 16 Valley Point Shopping Centre, Singapore 248371",1.2928914,103.82649889999999,OPERATIONAL,starbucks-valley-point
15,Starbucks UE Square,starbucks,,confident,1,ChIJRcgWPJ8Z2jER0csaY54NMQ0,Starbucks UE Square,"83 Clemenceau Ave, #01-31 UE Square, Singapore 239918",1.2929483,103.84286449999999,OPERATIONAL,starbucks-ue-square
16,Starbucks The Cathay,starbucks,,confident,1,ChIJCwc9Ib0Z2jERoAUtX6VD_u4,Starbucks The Cathay,"2 Handy Rd, #01-01 The Cathay, Singapore 229233",1.2991804999999998,103.8474972,OPERATIONAL,starbucks-the-cathay
17,Starbucks One Holland Village,starbucks,,confident,1,ChIJXV4K9bgb2jERnyYM2k6rii4,Starbucks - One Holland Village,"7 Holland Vlg Wy, #01-56 One, Singapore 275748",1.3112574,103.79405779999999,OPERATIONAL,starbucks-one-holland-village
18,Starbucks Jurong Point,starbucks,,confident,1,ChIJmRnrx-wP2jERJn7vciQERpo,Starbucks - Jurong Point,"63 Jurong West Central 3, #03-52/52A Jurong Point, Singapore 648331",1.3388845,103.7053377,OPERATIONAL,starbucks-jurong-point
19,Starbucks Hillion Mall,starbucks,,confident,1,ChIJoxiTV7sR2jERP_IEEklCR1s,Starbucks Hillion Mall,"17 Petir Rd, B1-28/29/30, Singapore 678278",1.3781712,103.7628889,OPERATIONAL,starbucks-hillion-mall
20,Starbucks,starbucks,"133 New Bridge Rd, #01-08, Singapore 059413",confident,1,ChIJGbsjt3UZ2jERV1PZEcbDcnQ,Starbucks,"133 New Bridge Rd, #01-08, Singapore 059413",1.2848313999999998,103.84461239999999,OPERATIONAL,starbucks-chinatown-point
21,Starbucks ION Orchard,starbucks,,confident,1,ChIJyRIV6Y0Z2jER4IB6WdnCOTo,Starbucks ION Orchard,"2 Orchard Turn, #B3 - 59, Singapore 238801",1.3040646999999999,103.83159119999999,OPERATIONAL,starbucks-ion-orchard
22,Starbucks Delfi Orchard,starbucks,,confident,1,ChIJvzeLuYwZ2jERj4-DCD4SoSE,Starbucks Delfi Orchard,"402 Orchard Rd, #01-01, Singapore 238876",1.3070791,103.8287098,OPERATIONAL,starbucks-delfi-orchard
23,Starbucks Orchard Gateway,starbucks,,confident,1,ChIJMVtx1ZYZ2jER3n2e_ke1RH8,Starbucks Orchard Gateway,"277 Orchard Rd, B2-04 Orchard, Gateway 238858",1.3006993,103.8399602,OPERATIONAL,starbucks-orchard-gateway
24,Starbucks Takashimaya,starbucks,,confident,1,ChIJSdO1rRsZ2jER3iQFjJKZET8,Starbucks Takashimaya,"391A Orchard Road, #B1-01,Takashimaya Shopping Centre, Civic Plaza, Singapore 238873",1.3024235,103.83465939999999,OPERATIONAL,starbucks-takashimaya
25,Baker & Cook Eng Kong Park,baker_and_cook,,confident,1,ChIJv-E7qyUR2jERayzYYA22XYo,Baker & Cook - Eng Kong Park,"21 Eng Kong Ter, Singapore 598993",1.3364201999999998,103.7681078,OPERATIONAL,baker-and-cook-baker-cook-eng-kong-park
26,The Coffee Bean & Tea Leaf,coffee_bean,"1 Bukit Batok Central, #01-09 West Mall, Singapore 658713",confident,1,ChIJsaG12D4Q2jEREGLtQIJZepU,The Coffee Bean & Tea Leaf,"1 Bukit Batok Central, #01-09 West Mall, Singapore 658713",1.3501376999999999,103.7493853,OPERATIONAL,coffee-bean-west-mall
27,The Coffee Bean & Tea Leaf,coffee_bean,"2 Jurong East Street 21, #01-126 IMM Building, Singapore 609601",confident,1,ChIJva6Ydg4Q2jERHRL1rllbVQ4,The Coffee Bean & Tea Leaf,"2 Jurong East Street 21, #01-126 IMM Building, Singapore 609601",1.3349895999999999,103.7460459,OPERATIONAL,coffee-bean-imm
28,The Coffee Bean & Tea Leaf,coffee_bean,"271 Bukit Timah Rd, #01-07 Balmoral Plaza, Singapore 259708",confident,1,ChIJkU7EIY8Z2jERDAOGHbODWgU,The Coffee Bean & Tea Leaf,"271 Bukit Timah Rd, #01-07 Balmoral Plaza, Singapore 259708",1.3165012999999999,103.8353836,OPERATIONAL,coffee-bean-balmoral-plaza
