name,brand,address_hint
Starbucks Centrepoint,starbucks,
Starbucks SingHealth Tower,starbucks,
Starbucks Wisma Atria,starbucks,
Starbucks,starbucks,"8 College Ave W, B1-01, Singapore 138608"
Starbucks,starbucks,"37 Smith St, #01-01 & #02-01, Singapore 058950"
Starbucks Fusionopolis,starbucks,
Starbucks Rochester Park,starbucks,
Starbucks West Mall,starbucks,
Starbucks HillV2,starbucks,
Starbucks HomeTeamNS Bukit Batok,starbucks,
Starbucks United Square,starbucks,
Starbucks Tekka Place,starbucks,
Starbucks,starbucks,"6 Eu Tong Sen St, #01-29 The Central, Singapore 059817"
Starbucks Valley Point,starbucks,
Starbucks UE Square,starbucks,
Starbucks The Cathay,starbucks,
Starbucks One Holland Village,starbucks,
Starbucks Jurong Point,starbucks,
Starbucks Hillion Mall,starbucks,
Starbucks,starbucks,"133 New Bridge Rd, #01-08, Singapore 059413"
Starbucks ION Orchard,starbucks,
Starbucks Delfi Orchard,starbucks,
Starbucks Orchard Gateway,starbucks,
Starbucks Takashimaya,starbucks,
Baker & Cook Eng Kong Park,baker_and_cook,
The Coffee Bean & Tea Leaf,coffee_bean,"1 Bukit Batok Central, #01-09 West Mall, Singapore 658713"
The Coffee Bean & Tea Leaf,coffee_bean,"2 Jurong East Street 21, #01-126 IMM Building, Singapore 609601"
The Coffee Bean & Tea Leaf,coffee_bean,"271 Bukit Timah Rd, #01-07 Balmoral Plaza, Singapore 259708"
